Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,quality
11.3,0.59,27.0,0.24,0.99394,7
10.1,0.62,70.0,0.32,0.99588,5
11.6,0.76,52.0,0.53,0.9971,7
9.3,0.61,84.0,0.685,0.9964,5
10.0,0.57,73.0,0.6,0.99654,5
10.4,0.6,61.0,0.48,0.9953,5
9.0,0.55,37.0,1.0,0.99685,6
9.2,0.48,34.0,0.49,0.9967,6
8.5,0.65,90.0,0.38,0.99914,5
9.5,0.61,112.0,0.565,0.9998,5
9.6,0.46,89.0,0.53,0.99678,6
9.5,0.39,12.0,0.655,0.99587,5
11.5,0.57,9.0,0.3,0.9948,7
10.1,0.56,58.0,0.56,0.9991,6
12.3,0.51,278.0,0.3,0.99316,7
10.7,0.78,32.0,0.57,1.0006,6
10.2,0.8,46.0,0.27,0.9993,6
9.5,0.5,61.0,0.35,0.9982,5
9.7,0.53,85.0,0.31,0.9971,5
11.5,0.6,88.0,1.01,0.99357,6
9.1,0.33,8.0,0.885,0.9972,4
11.2,0.69,30.0,0.19,0.994,6
10.0,0.68,89.0,0.43,0.9984,5
12.5,0.52,17.0,0.27,0.99484,7
9.5,0.52,11.0,0.67,0.9962,5
13.0,0.77,77.0,0.53,1.0018,5
10.9,0.64,11.0,0.91,0.99592,4
11.0,0.63,55.0,0.64,0.9962,5
12.5,0.71,10.0,0.25,0.99386,7
10.1,0.56,58.0,0.56,0.9991,6
10.3,0.63,31.0,0.66,0.99629,5
10.8,0.81,47.0,0.41,1.0014,6
10.5,0.53,52.0,0.48,0.9982,6
12.5,0.59,35.0,0.31,0.99356,7
10.5,0.63,62.0,0.4,0.9966,6
9.5,0.45,26.0,0.5,0.99448,5
9.6,0.45,25.0,0.83,0.99534,5
9.5,0.59,70.0,0.38,0.99685,6
9.5,0.78,49.0,0.5,0.9958,5
11.0,0.85,44.0,0.36,0.99534,7
9.5,0.68,11.0,0.57,0.997,5
10.2,1.36,103.0,0.755,0.9969,6
9.5,0.53,30.0,0.29,0.9968,6
10.1,0.52,80.0,0.75,0.9958,5
12.4,0.88,48.0,0.33,0.99528,7
11.0,0.54,45.0,0.6,0.99336,5
9.2,0.42,85.0,0.81,0.99668,5
9.6,0.54,49.0,0.26,0.9972,5
8.7,0.87,25.0,0.24,0.9967,6
10.7,0.76,80.0,0.33,1.0002,7
13.0,0.85,93.0,0.835,0.9924,7
9.2,0.93,148.0,0.62,0.9986,5
9.6,0.78,15.0,0.32,0.9994,5
12.9,0.82,70.0,0.52,0.99418,6
11.8,0.51,8.0,0.27,0.99471,6
11.0,0.58,15.0,0.55,0.99514,7
9.2,0.69,50.0,0.49,1.0015,6
9.2,0.61,63.0,0.62,0.996,5
11.8,0.53,31.0,0.605,0.995,6
